ID,propertyFullAddress,houseAddress,city,state,zip,propertyType,bedrooms,bathrooms,floors,sizeSqft,yearBuilt,redfinLink,zillowLink,createdDate,updatedDate,Owner
d481d52d-8794-4188-8d91-699689a4f671,"6401 Nohl Ranch Rd suite 78, Anaheim, CA, 92807",6401 Nohl Ranch Rd suite 78,Anaheim,CA,92807,Single Family,4,2.5,1,2145,1976,https://www.redfin.com/CA/Anaheim/6401-Nohl-Ranch-Rd-92807/unit-78/home/4333686,https://www.zillow.com/homedetails/6401-E-Nohl-Ranch-Rd-APT-78-Anaheim-CA-92807/25416615_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
210e578d-2ecb-4305-ae8b-2791dd2e3240,"8275 Fernadel Ave, Pico Rivera, CA, 90660",8275 Fernadel Ave,Pico Rivera,CA,90660,Single Family,3,2,1,4997,1950,,https://www.zillow.com/homes/8275%20Fernadel%20Avenue%2C%20Pico%20Rivera%2C%20CA%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
507e96db-70b3-45fd-8228-0cc90f86fe6e,"17900 Tuscan Ct, Granada Hills, CA, 91344",17900 Tuscan Ct,Granada Hills,CA,91344,Single Family,4,3,3,2215,1987,,"https://www.zillow.com/homes/17900-Tuscan-Ct,-Granada-Hills,-CA-91344_rb/20104466_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
836934b3-537b-4a8e-9de2-1586b7450f6a,"17717 Miranda St, Encino, CA, 91316",17717 Miranda St,Encino,CA,91316,Single Family,3,3,1,1941,1949,,https://www.zillow.com/homes/17717%20Miranda%20St%2C%20Encino%2C%20CA%2091316%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
7b44593a-3c58-41ba-98b2-5b35262683cb,"18110 Killion St, Tarzana, CA, 91356",18110 Killion St,Tarzana,CA,91356,Condominium,3,2,2,1463,1964,https://www.redfin.com/CA/Tarzana/18110-Killion-St-91356/unit-10/home/4103309,https://www.zillow.com/homedetails/18110-Killion-St-UNIT-3-Tarzana-CA-91356/19937207_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
ecc06738-51a9-4158-8b21-0ca58a3a85ad,"6025 Pat Ave, Woodland Hills, CA, 91367",6025 Pat Ave,Woodland Hills,CA,91367,Single Family,5,3,2,3009,1966,,https://www.zillow.com/homedetails/6025-Pat-Ave-Woodland-Hills-CA-91367/19872853_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
cae70e83-f0ac-4471-906f-8fd51349ff33,"3761 Calle Joaquin, Calabasas, CA, 91302",3761 Calle Joaquin,Calabasas,CA,91302,Single Family,3,3,1,1575,1990,,"https://www.zillow.com/homes/3761-Calle-Joaquin--Calabasas-CA,91302_rb/19897078_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
cefeeefc-5960-40d0-9f69-2577f225ab23,"22367 Algunas Rd, Woodland Hills, CA, 91364",22367 Algunas Rd,Woodland Hills,CA,91364,Single Family,4,3,1,2392,1963,,https://www.zillow.com/homedetails/22367-Algunas-Rd-Woodland-Hills-CA-91364/19900367_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
5e5a2070-e7a4-4569-a50d-64bebd6c196a,"8550 Mipolomol Road, Malibu, CA, 90265",8550 Mipolomol Road,Malibu,CA,90265,Single Family,4,3,2,2352,2014,,https://www.zillow.com/homes/8550%20Mipolomol%20Road%2C%20Malibu%2C%20CA%2090265%2C%20USA%20_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
6cef1ac8-9ede-4d8b-9bac-1c260a4fbdc7,"517 Sombrero Rd, Monrovia, CA, 91016",517 Sombrero Rd,Monrovia,CA,91016,Single Family,3,2,1,1331,1954,,"https://www.zillow.com/homes/517-Sombrero-Rd-Monrovia,-CA-91016_rb/21586432_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
537217d1-9376-479d-aea2-3e0060c5d2b7,"4960 Wiota St, Los Angeles, CA, 90041",4960 Wiota St,Los Angeles,CA,90041,Single Family,4,2,2,1997,1929,,https://www.zillow.com/homedetails/4960-Wiota-St-Los-Angeles-CA-90041/20853071_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
b07d4141-d02c-458d-8bf0-110e3f12608e,"6225 Coldwater Canyon Ave, North Hollywood, CA, 91606",6225 Coldwater Canyon Ave,North Hollywood,CA,91606,Condominium,3,2,1,1473,1965,,"https://www.zillow.com/homes/6225-Coldwater-Canyon-Ave-.num.210-North-Hollywood,-CA-91606_rb/20008314_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
45ba83fb-e5cd-483e-816e-51219dadef18,"4168 Ish Dr, Simi Valley, CA, 93063",4168 Ish Dr,Simi Valley,CA,93063,Single Family,3,2,1,1141,1963,,https://www.zillow.com/homes/4168%20Ish%20Dr%2C%20Simi%20Valley%2C%20CA%2093063%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
16cfa0e9-7f7f-4027-916e-268f759b2aeb,"1518 Grove Pl, Fullerton, CA, 92831",1518 Grove Pl,Fullerton,CA,92831,Single Family,4,3,1,1792,1955,https://www.redfin.com/CA/Fullerton/1518-Grove-Pl-92831/home/3160154,https://www.zillow.com/homedetails/1518-Grove-Pl-Fullerton-CA-92831/25117273_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
82e6fad4-803c-49ec-b1ab-577bead30aa9,"18100 Guildford Ln, Northridge, CA, 91326",18100 Guildford Ln,Northridge,CA,91326,Single Family,4,3,2,3232,1986,,https://www.zillow.com/homedetails/18100-Guildford-Ln-Porter-Ranch-CA-91326/20234262_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
5fb21376-8824-4bd6-8a93-b80a5ee5b0d3,"14853 Jupiter St, Whittier, CA, 90603",14853 Jupiter St,Whittier,CA,90603,Single Family,4,2,1,1441,1951,,"https://www.zillow.com/homes/14853-Jupiter-St-Whittier,-CA-90603_rb/21432380_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
ee6639c6-b119-4166-ad2d-dcbcc3d0aa05,"5301 Balboa Blvd Unit L7, Encino, CA, 91316",5301 Balboa Blvd Unit L7,Encino,CA,91316,Single Family,2,2,1,1415,1965,,https://www.zillow.com/homes/5301%20Balboa%20Blvd%2C%20Unit%20L7%20Encino%2C%20CA%2091316%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
28bd9ed7-dbaa-4316-aabd-f127317658f8,"14159 Weddington St, Van Nuys, CA, 91401",14159 Weddington St,Van Nuys,CA,91401,Single Family,3,3,1,2373,1956,,https://www.zillow.com/homedetails/14159-Weddington-St-Van-Nuys-CA-91401/19975315_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
